digit-nn-cpu,digit-nn-mem,query-frontend-cpu,query-frontend-men,average latency
225.73,264.8,167.20,32.27,0.0265768598715
181.87,264.8,173.42,32.57,0.039606294346
264.36,264.7,101.65,34.22,0.0401001672745
204.61,264.7,100.60,35.79,0.0514734989802
101.04,264.7,100.66,37.70,0.14452117451
150.95,264.7,100.62,39.01,0.0791725999514
203.60,191.1,101.59,40.63,0.052795779705
204.14,171.4,102.62,42.02,0.0503844895363
200.43,132.8,103.51,43.57,0.0514057914416
203.61,93.83,103.09,45.12,0.0512056777477
203.06,79.86,102.69,47.96,0.0783510789871
125.18,78.00,102.57,50.99,2.37882495006